country_code,indicator_code,date,frequency,source_count,min_value,max_value,absolute_diff,relative_diff,status
IT,CPI_YOY_M,2019-08,M,2,0.3879728,0.5,0.1120272,0.2523212422722858,warning
IT,CPI_YOY_M,2019-09,M,2,0.2,0.2923976,0.09239759999999997,0.3752967114380735,warning
IT,CPI_YOY_M,2020-01,M,2,0.4,0.4882813,0.08828129999999995,0.19876879092242503,warning
IT,CPI_YOY_M,2020-02,M,2,0.2,0.2926829,0.09268290000000001,0.3762375353396678,warning
IT,CPI_YOY_M,2020-04,M,2,0.0,0.1,0.1,2.0,warning
IT,CPI_YOY_M,2020-05,M,2,-0.3,-0.1941748,0.10582519999999998,0.42829055629708346,warning
IT,CPI_YOY_M,2020-06,M,2,-0.4,-0.1939864,0.20601360000000002,0.6936643667262415,warning
IT,CPI_YOY_M,2020-07,M,2,-0.3879728,0.8,1.1879728,2.0,warning
IT,CPI_YOY_M,2020-09,M,2,-1.0,-0.5830904,0.4169096,0.5267034655759393,warning
IT,CPI_YOY_M,2020-10,M,2,-0.6,-0.2918288,0.3081712,0.6910994576537559,warning
IT,CPI_YOY_M,2020-11,M,2,-0.3,-0.1949318,0.1050682,0.4245764770014778,warning
IT,CPI_YOY_M,2020-12,M,2,-0.3,-0.1945525,0.1054475,0.4264360204427235,warning
IT,CPI_YOY_M,2021-01,M,2,0.3887269,0.7,0.31127309999999997,0.571811167704224,warning
IT,CPI_YOY_M,2021-02,M,2,0.5836576,1.0,0.4163424,0.5257985059396678,warning
IT,CPI_YOY_M,2021-03,M,2,0.6,0.7774538,0.1774538,0.2576548120887974,warning
IT,CPI_YOY_M,2021-07,M,2,1.0,1.94742,0.9474199999999999,0.642880892441525,warning
IT,CPI_YOY_M,2021-08,M,2,2.038835,2.5,0.4611649999999998,0.20320853258600488,warning
IT,CPI_YOY_M,2023-12,M,2,0.5,0.5882353,0.08823530000000002,0.16216217209642073,warning
IT,CPI_YOY_M,2024-07,M,2,1.253133,1.6,0.34686700000000004,0.24314814626587686,warning
US,CPI_YOY_M,2016-02,M,2,0.8472775790126619,1.0178,0.17052242098733816,0.18285826059590468,warning
US,CPI_YOY_M,2020-05,M,2,0.1179264,0.1982013035848551,0.0802749035848551,0.5078637694485241,warning
IN,CURRENT_ACCOUNT_GDP_A,2016,A,2,-0.634,-0.527880606037518,0.10611939396248204,0.18266832824483065,warning
IN,CURRENT_ACCOUNT_GDP_A,2017,A,2,-1.865,-1.43948820320988,0.4255117967901201,0.25753567307445113,warning
IN,CURRENT_ACCOUNT_GDP_A,2019,A,2,-1.04961203910072,-0.884,0.16561203910071998,0.17129810505083787,warning
IN,CURRENT_ACCOUNT_GDP_A,2020,A,2,0.919,1.22362111042791,0.30462111042790996,0.2843443564943436,warning
IN,CURRENT_ACCOUNT_GDP_A,2021,A,2,-1.254,-1.05524166809383,0.1987583319061701,0.17214164688985167,warning
IN,CURRENT_ACCOUNT_GDP_A,2023,A,2,-0.878262847208682,-0.744,0.13426284720868198,0.16552539243526287,warning
IN,CURRENT_ACCOUNT_GDP_A,2024,A,2,-0.818831370412112,-0.61,0.20883137041211197,0.2923107299245251,warning
TR,CURRENT_ACCOUNT_GDP_A,2024,A,2,-0.959,-0.766008235540632,0.19299176445936794,0.22375749922015034,warning
VN,CURRENT_ACCOUNT_GDP_A,2021,A,2,-2.202,-1.26284279203588,0.9391572079641199,0.5421066780419713,warning
BR,GDP_DEFLATOR_INDEX_A,2015,A,2,145.816789372478,502.745,356.928210627522,1.1006760388177392,warning
BR,GDP_DEFLATOR_INDEX_A,2016,A,2,157.63320509311,543.485,385.85179490689,1.1006754413277517,warning
BR,GDP_DEFLATOR_INDEX_A,2017,A,2,163.420526158356,563.439,400.018473841644,1.1006761539078864,warning
BR,GDP_DEFLATOR_INDEX_A,2018,A,2,170.763883600006,588.757,417.99311639999394,1.1006757692264477,warning
BR,GDP_DEFLATOR_INDEX_A,2019,A,2,177.977392089118,613.628,435.65060791088206,1.1006762012096982,warning
BR,GDP_DEFLATOR_INDEX_A,2020,A,2,189.496978121312,653.344,463.84702187868805,1.1006750595173969,warning
BR,GDP_DEFLATOR_INDEX_A,2021,A,2,214.221162127622,738.588,524.366837872378,1.1006754735680069,warning
BR,GDP_DEFLATOR_INDEX_A,2022,A,2,232.580519743001,801.887,569.306480256999,1.1006754091195345,warning
BR,GDP_DEFLATOR_INDEX_A,2023,A,2,244.580514159429,843.262,598.681485840571,1.1006767579830607,warning
BR,GDP_DEFLATOR_INDEX_A,2024,A,2,254.558602989396,877.663,623.104397010604,1.1006756899275305,warning
IN,GDP_DEFLATOR_INDEX_A,2015,A,2,74.187,121.130060189769,46.943060189769,0.4806857132107086,warning
IN,GDP_DEFLATOR_INDEX_A,2016,A,2,76.387,125.052221196612,48.665221196611995,0.48317523178977123,warning
IN,GDP_DEFLATOR_INDEX_A,2017,A,2,79.209,130.015866407506,50.80686640750599,0.485667571736428,warning
IN,GDP_DEFLATOR_INDEX_A,2018,A,2,82.067,135.065995050452,52.998995050451995,0.4881708101353956,warning
IN,GDP_DEFLATOR_INDEX_A,2019,A,2,83.818,138.315030740154,54.49703074015399,0.49067021287710555,warning
IN,GDP_DEFLATOR_INDEX_A,2020,A,2,87.619,144.974702950823,57.355702950823,0.4931836264109837,warning
IN,GDP_DEFLATOR_INDEX_A,2021,A,2,94.685,157.087205592193,62.402205592192985,0.495703689336294,warning
IN,GDP_DEFLATOR_INDEX_A,2022,A,2,100.0,166.350860948164,66.35086094816401,0.49822148659077853,warning
IN,GDP_DEFLATOR_INDEX_A,2023,A,2,103.511,170.662591331842,67.15159133184201,0.4898472606762923,warning
IN,GDP_DEFLATOR_INDEX_A,2024,A,2,106.065,175.922879998853,69.85787999885301,0.4954672519906682,warning
FR,GDP_REAL_GROWTH_YOY_A,2016,A,2,0.735,0.860031075424033,0.12503107542403302,0.15677572349591246,warning
IN,GDP_REAL_GROWTH_YOY_A,2023,A,2,7.21,9.19075493028345,1.9807549302834504,0.24154436045209748,warning
JP,GDP_REAL_GROWTH_YOY_A,2018,A,2,0.643391023533141,0.834,0.19060897646685893,0.25803456692328164,warning
JP,GDP_REAL_GROWTH_YOY_A,2019,A,2,-0.402169200894946,-0.308,0.09416920089494601,0.26520215401139674,warning
JP,GDP_REAL_GROWTH_YOY_A,2021,A,2,2.69657404187188,3.564,0.8674259581281198,0.2771074832201054,warning
JP,GDP_REAL_GROWTH_YOY_A,2022,A,2,0.941998775483285,1.332,0.39000122451671504,0.3430091772444595,warning
JP,GDP_REAL_GROWTH_YOY_A,2023,A,2,0.721,1.47503481053384,0.75403481053384,0.6867239143176784,warning
JP,GDP_REAL_GROWTH_YOY_A,2024,A,2,-0.242,0.104309021773304,0.346309021773304,2.0,warning
SA,GDP_REAL_GROWTH_YOY_A,2024,A,2,1.99650173436159,2.649,0.65249826563841,0.28091616490509386,warning
BR,GDP_REAL_LCU_A,2015,A,2,1192610000000.0,4111863267274.73,2919253267274.73,1.1006760219849498,warning
BR,GDP_REAL_LCU_A,2016,A,2,1153541000000.0,3977162043337.27,2823621043337.27,1.1006760747940865,warning
